Date;house_price;FTEE;CtE;Yearwage;population;EHW;SandP500;SandP500wu;Wiwu;u;ln_stock;u_transformed
1964Q1;16.26156948;59544.5;360;6.04586616766015;190.934368040625;513.556272320556;77.5466666666666;12826.3948483462;103.827371700176;5.46666666666666;9.45926042422998;1.75488672616027
1964Q2;16.19913414;59940;367.4;6.12942098275152;191.590618034375;506.345074067849;80.3;13100.7480520539;104.732638725786;5.2;9.48042461076913;1.7020594023145
1964Q3;16.29562512;60405.75;374.7;6.20301585728707;192.228118796874;504.992641241884;82.8766666666666;13360.7052719858;105.986635376114;5;9.5000732355166;1.66073120682165
1964Q4;16.41481987;60941.75;380.7;6.24691796219632;192.846870328124;506.737347614606;84.75;13566.6900882757;107.183898691569;4.96666666666666;9.51537280916961;1.65369140302088
1965Q1;16.5169868;61565.34375;387.3;6.2908436558135;193.415625503125;507.824309128494;86.5666666666666;13760.7404352942;108.27154781352;4.9;9.52957492074411;1.63947642155333
1965Q2;16.43752364;62234.90625;394.1;6.33241808706662;194.009377421875;503.60441839225;87.43;13806.732088421;108.205606309549;4.66666666666666;9.53291158468798;1.5882357047835
1965Q3;16.46590334;62967.78125;402.3;6.38890714918475;194.596878959375;501.527620356733;86.9266666666666;13605.8741560767;107.010992563391;4.36666666666666;9.51825690171309;1.51864869320788
1965Q4;16.64185749;63763.96875;414.3;6.49729659699228;195.178130115625;499.919709383827;91.7566666666666;14122.2838294226;109.580070901448;4.09999999999999;9.55550924226142;1.45285117780896
1966Q1;16.73267254;65018.78125;426.7;6.56262862514851;195.768756859374;499.14975982915;91.63;13962.3930034478;108.692971253576;3.86666666666666;9.54412278021096;1.39182687868961
1966Q2;16.77240413;65783.46875;437.8;6.65508916986657;196.331256865625;494.801361702434;88.1466666666666;13245.0015945367;104.648146742677;3.83333333333333;9.49137552209398;1.38282213540914
1966Q3;16.78943195;66453.34375;449;6.75656324036317;196.881256103124;489.231630635377;81.4333333333333;12052.4785214556;98.0443352065067;3.76666666666666;9.3970256041961;1.3645848250375
1966Q4;16.86321917;67028.40625;457.1;6.8194672639774;197.418754571874;488.178269320157;79.8166666666666;11704.2378204942;96.1573255384173;3.7;9.36770626208462;1.34603468683419
1967Q1;16.86889511;67280.0624999999;463.3;6.88612060273887;197.9281239125;484.863532635642;87.0766666666666;12645.2427557009;100.810895739202;3.83333333333333;9.44503635668183;1.38282213540914
1967Q2;16.9370064;67756.9375;469;6.9217666309047;198.4468721875;485.583540088286;91.66;13242.2840710565;103.967567117877;3.83333333333333;9.49117032753204;1.38282213540914
1967Q3;17.06187709;68230.4375;478.7;7.01587754253069;198.9593710375;483.848287540244;94.4366666666666;13460.4211795582;104.976421322862;3.8;9.50750889390962;1.37374189504877
1967Q4;17.22647936;68700.5625;489.7;7.12796486618036;199.4656204625;482.057706292839;94.5399999999999;13263.2528042553;103.8216867471;3.9;9.49275254317791;1.40075742314745
1968Q1;17.32864629;69160.125;504.5;7.29459002305824;199.949996899999;474.990748076894;91.6266666666666;12560.9069703759;99.658547331914;3.73333333333333;9.43834464843229;1.35534955727047
1968Q2;17.34567411;69626.375;517.6;7.433893397376;200.449996899999;467.714579120166;98.0133333333333;13184.6568270578;102.375979571088;3.56666666666666;9.48680907092176;1.30794971547386
1968Q3;17.52162827;70092.125;531.4;7.58138366554907;200.949996899999;464.42329024176;99.9033333333333;13177.4538449108;102.100563878015;3.53333333333333;9.48626260615527;1.29821437290873
1968Q4;17.84515688;70557.375;543.799999999999;7.70713302865343;201.449996899999;466.4389189587;105.233333333333;13654.0180300636;104.724427597045;3.4;9.52178911847418;1.25836687639173
1969Q1;18.20841707;71388.375;555.9;7.78691132195523;201.8874954625;472.080850366729;100.933333333333;12961.9215065094;101.533437315363;3.4;9.46977122330734;1.25836687639173
1969Q2;18.42977875;71706.125;569.8;7.94627547077708;202.4124960375;469.454844842117;101.68;12795.9319273456;100.480431304282;3.43333333333333;9.45688258121669;1.26846817644838
1969Q3;18.787363;71876.875;586.6;8.16115963106294;202.9624971875;467.228957945454;94.4666666666666;11575.1524216128;93.9714462518427;3.56666666666666;9.35661604704162;1.30794971547386
1969Q4;19.16765101;71900.625;598.2;8.31986186584487;203.5374989125;468.918331759692;94.28;11331.9189092602;92.8287737143786;3.56666666666666;9.33537870501765;1.30794971547386
1970Q1;19.5876706;71392.0625;608.6;8.52480603612586;204.2625040875;469.339317404034;88.7066666666666;10405.7108502823;88.0429290697795;4.16666666666666;9.25011005463758;1.46967597005894
1970Q2;19.93390297;71275.9375;614.2;8.61722665924323;204.8375058125;473.842818223117;79.2;9190.89205052376;82.0514744202549;4.76666666666666;9.12596827816061;1.61048741401722
1970Q3;20.31986693;71166.9375;622.2;8.74283277739212;205.3875069625;477.356357696154;78.74;9006.23424979737;81.3452827603782;5.16666666666666;9.10567231093824;1.69527695634691
1970Q4;20.73988652;71065.0625;623.9;8.77932575624319;205.9125075375;486.438498575983;86.2333333333333;9822.31844763371;86.2455593747389;5.83333333333333;9.19241246794632;1.82369251633106
1971Q1;20.87610909;70643.28125;641.6;9.08229814433034;206.225008021875;474.018326213868;96.7333333333333;10650.755105823;89.6554515355424;5.93333333333333;9.27338607057936;1.84175260386742
1971Q2;21.10314671;70686.46875;653.7;9.24786335059965;206.775007253125;471.849891006561;101.44;10969.0202108601;91.1536522162469;5.9;9.30283023395318;1.83576449030843
1971Q3;21.39829562;70867.59375;664.1;9.37096383656933;207.375005715625;473.534180036562;98.5466666666666;10516.1719098837;88.9206151480388;6.03333333333333;9.26066953317562;1.8595297261398
1971Q4;21.65371294;71186.65625;676.3;9.50028345869733;208.025003409375;474.145190272752;96.4133333333333;10148.4691222627;87.0527366924862;5.93333333333333;9.22507814770181;1.84175260386742
