N,price,dividend
330,82.71153846,3.105769231
331,84.28528529,3.152402402
332,87.43768769,3.152402402
333,87.27177177,3.318318318
334,85.4466967,3.318318318
335,88.26726727,3.318318318
336,92.35576923,3.269230769
337,99.38461538,3.269230769
338,100.3244604,3.179856115
339,101.7553957,3.179856115
340,101.7102273,3.139204545
341,97.47230114,3.139204545
342,93.94047619,3.25
343,95.98063624,3.209543568
344,97.08321965,3.165757162
345,92.49474376,3.049277267
346,90.86511025,3.009727626
347,91.51666667,2.975
348,84.20379747,2.937341772
349,85.32278481,3.07721519
350,85.88297872,3.180851064
351,86.57446809,3.180851064
352,87.68085106,3.319148936
353,85.56666667,3.541666667
354,83.98573281,3.726329442
355,83.01666667,3.683333333
356,85.13229572,3.869649805
357,82.16666667,3.966666667
358,86.13553826,4.156290532
359,92.87159533,4.156290532
360,99.75492773,4.356110381
361,101.3274968,4.299610895
362,105.2726675,4.356110381
363,109.0479632,4.50131406
364,119.6103723,4.55518617
365,113.5857713,4.55518617
366,124.900266,4.55518617
367,115.1465177,4.50131406
368,115.229572,4.442931258
369,113.3333333,4.533333333
370,112.0583333,4.533333333
371,113.0177215,4.475949367
372,109.9468085,4.425531915
373,113.5772152,4.475949367
374,114.5563291,4.475949367
375,114.6962025,4.475949367
376,117.2765957,4.425531915
377,115.5537701,4.370828183
378,113.6069682,4.457823961
379,116.1735941,4.457823961
380,120.6075402,4.507416564
381,119.5507335,4.457823961
382,108.2268571,4.167428571
383,107.4994097,4.305194805
384,103.916472,4.259929907
385,107.948037,4.21073903
386,107.3100462,4.21073903
387,106.6714456,4.48864994
388,102.3148148,4.48864994
389,102.6650367,4.592909535
390,96.99144254,4.592909535
391,92.53361858,4.592909535
392,89.56173594,4.592909535
393,86.34480676,4.67089372
394,84.56356968,4.72799511
395,85.77750309,4.780593325
396,89.73856613,4.780593325
397,89.147343,4.67089372
398,84.79929162,4.435655254
399,85.5483871,4.48864994
400,88.61352657,4.537439614
401,88.78244747,4.507416564
402,88.91903585,4.507416564
403,92.60692213,4.507416564
404,94.69498778,4.322738386
405,97.6884058,4.270531401
406,103.4269324,4.270531401
