,IRS.M.AT.L.L40.CI.0000.EUR.N.Z,IRS.M.BE.L.L40.CI.0000.EUR.N.Z,IRS.M.BG.L.L40.CI.0000.BGN.N.Z,IRS.M.CY.L.L40.CI.0000.EUR.N.Z,IRS.M.CZ.L.L40.CI.0000.CZK.N.Z,IRS.M.DE.L.L40.CI.0000.EUR.N.Z,IRS.M.DK.L.L40.CI.0000.DKK.N.Z,IRS.M.ES.L.L40.CI.0000.EUR.N.Z,IRS.M.FI.L.L40.CI.0000.EUR.N.Z,IRS.M.FR.L.L40.CI.0000.EUR.N.Z,IRS.M.GB.L.L40.CI.0000.GBP.N.Z,IRS.M.GR.L.L40.CI.0000.EUR.N.Z,IRS.M.HR.L.L40.CI.0000.HRK.N.Z,IRS.M.HU.L.L40.CI.0000.HUF.N.Z,IRS.M.IE.L.L40.CI.0000.EUR.N.Z,IRS.M.IT.L.L40.CI.0000.EUR.N.Z,IRS.M.LT.L.L40.CI.0000.EUR.N.Z,IRS.M.LU.L.L40.CI.0000.EUR.N.Z,IRS.M.LV.L.L40.CI.0000.EUR.N.Z,IRS.M.MT.L.L40.CI.0000.EUR.N.Z,IRS.M.NL.L.L40.CI.0000.EUR.N.Z,IRS.M.PL.L.L40.CI.0000.PLN.N.Z,IRS.M.PT.L.L40.CI.0000.EUR.N.Z,IRS.M.RO.L.L40.CI.0000.RON.N.Z,IRS.M.SE.L.L40.CI.0000.SEK.N.Z,IRS.M.SI.L.L40.CI.0000.EUR.N.Z,IRS.M.SK.L.L40.CI.0000.EUR.N.Z
,"Austria, Euro","Belgium, Euro","Bulgaria, Bulgarian lev","Cyprus, Euro","Czech Republic, Czech koruna","Germany, Euro","Denmark, Danish krone","Spain, Euro","Finland, Euro","France, Euro","United Kingdom (GB), UK pound sterling","Greece (GR), Euro","Croatia, Croatian kuna","Hungary, Hungarian forint","Ireland, Euro","Italy, Euro","Lithuania, Euro","Luxembourg, Euro","Latvia, Euro","Malta, Euro","Netherlands, Euro","Poland, Polish zloty","Portugal, Euro","Romania, Romanian leu","Sweden, Swedish krona","Slovenia, Euro","Slovakia, Euro"
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ]
1996Jun,6.63,6.78,,,,6.56,7.50,9.11,7.21,6.55,8.20,14.95,,,7.62,9.57,,6.51,,,6.47,,8.88,,8.34,,
1996May,6.45,6.69,,,,6.45,7.39,9.17,7.36,6.46,8.23,14.87,,,7.50,9.70,,6.47,,,6.35,,8.97,,8.43,,
1996Apr,6.43,6.67,,,,6.38,7.34,9.33,7.47,6.50,8.21,14.80,,,7.61,10.34,,6.58,,,6.35,,9.06,,8.33,,
1996Mar,6.55,6.84,,,,6.44,7.60,9.89,7.71,6.64,8.20,14.90,,,7.82,10.69,,6.68,,,6.45,,9.46,,8.76,,
1996Feb,6.44,6.64,,,,6.20,7.41,9.71,7.67,6.59,7.90,15.30,,,7.49,10.52,,6.44,,,6.21,,9.45,,8.77,,
1996Jan,6.21,6.44,,,,5.89,7.04,9.46,7.03,6.44,7.55,15.30,,,7.23,10.43,,6.42,,,5.87,,9.44,,8.25,,
1995Dec,6.47,6.70,,,,6.07,7.30,9.95,7.38,6.75,7.59,15.35,,,7.38,11.17,,6.69,,,6.09,,10.03,,8.61,,
1995Nov,6.76,6.80,,,,6.34,7.57,10.54,7.52,7.03,7.97,15.40,,,7.63,11.63,,6.77,,,6.35,,10.74,,8.99,,
1995Oct,6.96,7.06,,,,6.57,7.88,10.89,7.95,7.48,8.24,15.56,,,7.99,11.96,,6.84,,,6.59,,11.22,,9.30,,
1995Sep,6.88,7.04,,,,6.59,7.84,10.80,7.98,7.35,8.07,15.72,,,7.96,11.54,,6.90,,,6.58,,11.15,,9.63,,
1995Aug,7.00,7.19,,,,6.74,8.09,10.97,8.34,7.33,8.26,16.19,,,8.15,11.66,,7.09,,,6.74,,11.31,,10.22,,
1995Jul,7.11,7.33,,,,6.86,8.34,11.33,8.74,7.43,8.39,16.72,,,8.39,12.21,,7.10,,,6.85,,11.69,,10.55,,
1995Jun,7.05,7.33,,,,6.78,8.27,11.54,8.70,7.45,8.24,17.24,,,8.26,12.38,,7.11,,,6.83,,11.89,,10.58,,
1995May,7.13,7.59,,,,6.86,8.32,11.41,8.84,7.52,8.28,17.58,,,8.34,12.30,,7.39,,,6.92,,11.92,,10.74,,
1995Apr,7.37,7.85,,,,7.09,8.75,12.09,9.42,7.82,8.55,18.00,,,8.70,13.41,,7.53,,,7.17,,12.17,,11.41,,
1995Mar,7.51,8.16,,,,7.28,8.96,12.26,10.18,8.02,8.70,18.25,,,8.80,13.45,,7.73,,,7.42,,11.98,,11.17,,
1995Feb,7.65,8.27,,,,7.42,8.86,11.60,10.22,8.01,8.76,18.50,,,8.67,12.39,,7.83,,,7.54,,11.71,,10.71,,
1995Jan,7.72,8.45,,,,7.60,9.07,11.86,10.24,8.23,8.84,19.00,,,8.79,12.37,,7.78,,,7.71,,11.79,,11.00,,
1994Dec,7.63,8.30,,,,7.46,8.77,11.38,10.21,8.02,8.70,19.00,,,8.57,12.20,,7.74,,,7.59,,11.60,,10.84,,
1994Nov,7.72,8.35,,,,7.49,8.83,11.17,10.23,8.14,8.75,19.83,,,8.51,12.02,,7.85,,,7.54,,11.51,,11.09,,
1994Oct,7.69,8.45,,,,7.54,8.92,11.14,10.08,8.19,8.88,20.67,,,8.68,12.07,,7.96,,,7.55,,11.59,,11.10,,
1994Sep,7.57,8.58,,,,7.52,9.09,11.22,10.53,8.10,8.99,21.50,,,8.82,11.94,,7.32,,,7.49,,11.75,,11.41,,
1994Aug,7.20,8.21,,,,7.09,8.57,10.68,10.59,7.61,8.69,21.50,,,8.43,11.46,,7.08,,,7.12,,11.42,,11.44,,
1994Jul,7.12,7.95,,,,6.90,8.15,10.59,9.89,7.40,8.54,21.13,,,8.34,10.77,,7.13,,,6.91,,11.34,,10.90,,
1994Jun,7.41,7.98,,,,7.05,8.17,10.28,9.53,7.49,8.72,20.75,,,8.50,10.48,,7.15,,,7.11,,10.84,,10.01,,
1994May,6.97,7.54,,,,6.66,7.41,9.55,8.52,6.97,8.29,20.38,,,7.96,9.37,,7.11,,,6.75,,9.96,,8.91,,
1994Apr,6.67,7.29,,,,6.48,7.03,9.07,8.29,6.69,7.82,20.00,,,7.57,9.05,,6.98,,,6.54,,9.26,,8.64,,
1994Mar,6.45,7.14,,,,6.34,6.69,8.82,7.45,6.37,7.42,20.38,,,7.07,9.45,,6.72,,,6.29,,8.97,,7.87,,
1994Feb,6.06,6.70,,,,6.07,6.27,8.07,6.58,5.94,6.71,21.25,,,6.45,8.77,,6.43,,,5.87,,8.58,,7.15,,
1994Jan,5.81,6.52,,,,5.80,6.02,7.98,6.54,5.67,6.32,22.00,,,6.15,8.67,,6.33,,,5.61,,8.93,,7.05,,
1993Dec,6.04,6.59,,,,5.85,6.22,8.28,7.03,5.80,6.38,22.25,,,6.38,8.93,,6.30,,,5.68,,9.19,,7.30,,
1993Nov,6.18,6.92,,,,5.98,6.41,8.56,7.39,6.04,6.88,22.25,,,6.57,9.33,,6.52,,,5.81,,9.39,,7.52,,
1993Oct,6.26,7.19,,,,6.00,6.47,8.69,7.67,5.96,6.92,22.25,,,6.71,9.02,,6.68,,,5.83,,9.27,,7.59,,
1993Sep,6.44,7.22,,,,6.20,6.77,9.09,7.99,6.13,7.02,22.25,,,7.01,9.47,,,,,5.98,,9.74,,7.82,,
1993Aug,6.60,7.08,,,,6.41,6.73,9.48,7.87,6.31,7.10,22.25,,,7.11,9.76,,,,,6.18,,10.37,,7.66,,
1993Jul,6.75,7.05,,,,6.62,7.05,10.22,8.60,6.76,7.62,22.88,,,7.32,11.10,,,,,6.43,,10.67,,8.27,,
1993Jun,6.99,7.23,,,,6.81,7.18,10.56,9.06,6.95,8.01,23.38,,,7.61,11.67,,,,,6.59,,,,8.71,,
1993May,7.06,7.43,,,,6.83,7.56,11.22,9.46,7.18,8.22,23.88,,,7.83,12.46,,,,,6.67,,,,9.12,,
1993Apr,6.93,7.44,,,,6.68,7.79,11.49,9.77,7.15,7.97,24.38,,,8.11,13.11,,,,,6.60,,,,9.44,,
1993Mar,6.86,7.37,,,,6.66,8.18,11.36,9.87,7.33,7.85,24.50,,,8.62,12.90,,,,,6.56,,,,9.40,,
1993Feb,7.13,7.65,,,,6.94,8.63,11.43,10.27,7.77,8.11,24.50,,,9.26,13.06,,,,,6.87,,,,9.83,,
1993Jan,7.22,7.57,,,,7.15,8.65,12.16,10.92,7.92,8.48,24.50,,,9.88,13.43,,,,,7.13,,,,10.17,,
