"DATES" "FL664090005.Q" "FL663020003.Q" "FL662051003.Q" "FL664022005.Q" "FL663069103.Q" "FL663061105.Q" "FL663061703.Q" "FL663062003.Q" "FL663063005.Q" "FL663069005.Q" "LM663064103.Q" "FL663092003.Q" "FL663090005.Q" "FL664190005.Q" "FL662151003.Q" "FL663163003.Q" "FL664123005.Q" "FL663168005.Q" "FL153067005.Q" "FL663170003.Q" "FL663178003.Q" "FL663192003.Q" "FL663190005.Q" "FL663194005.Q" "FL663193005.Q"
"195703" 5050.00 564.00 0.00 819.00 0.00 223.00 0.00 100.00 496.00 3106.00 561.00 205.00 -205.00 5159.00 0.00 0.00 3868.00 3035.00 833.00 240.00 19.00 236.00 796.00 0.00 796.00
"195704" 5477.00 547.00 0.00 1354.00 0.00 449.00 0.00 200.00 705.00 2805.00 771.00 214.00 -214.00 5585.00 0.00 0.00 4287.00 3393.00 894.00 250.00 25.00 237.00 786.00 0.00 786.00
"195801" 5439.00 537.00 0.00 1220.00 0.00 332.00 0.00 325.00 563.00 3054.00 628.00 221.00 -221.00 5544.00 0.00 0.00 4249.00 3298.00 951.00 250.00 22.00 237.00 786.00 0.00 786.00
"195802" 6731.00 537.00 0.00 1940.00 0.00 867.00 0.00 370.00 703.00 3486.00 768.00 229.00 -229.00 6830.00 0.00 0.00 5533.00 4488.00 1045.00 250.00 24.00 237.00 786.00 0.00 786.00
"195803" 5303.00 549.00 0.00 775.00 0.00 199.00 0.00 215.00 361.00 3554.00 425.00 237.00 -237.00 5395.00 0.00 0.00 4092.00 2976.00 1116.00 260.00 30.00 237.00 776.00 0.00 776.00
"195804" 6071.00 571.00 0.00 1242.00 0.00 604.00 0.00 215.00 423.00 3770.00 488.00 245.00 -245.00 6152.00 0.00 0.00 4848.00 3692.00 1156.00 260.00 33.00 235.00 776.00 0.00 776.00
"195901" 5426.00 590.00 0.00 825.00 0.00 408.00 0.00 275.00 142.00 3804.00 207.00 254.00 -254.00 5496.00 0.00 0.00 4189.00 2917.00 1272.00 270.00 38.00 234.00 765.00 0.00 765.00
"195902" 5480.00 602.00 0.00 719.00 0.00 275.00 0.00 250.00 194.00 3901.00 258.00 263.00 -263.00 5542.00 0.00 0.00 4237.00 3119.00 1118.00 270.00 35.00 236.00 764.00 0.00 764.00
"195903" 5598.00 605.00 0.00 882.00 0.00 401.00 0.00 180.00 301.00 3747.00 364.00 272.00 -272.00 5650.00 0.00 0.00 4332.00 3301.00 1031.00 280.00 46.00 238.00 754.00 0.00 754.00
"195904" 6171.00 600.00 0.00 1232.00 0.00 428.00 0.00 302.00 502.00 3773.00 566.00 281.00 -281.00 6212.00 0.00 0.00 4887.00 5245.00 -358.00 280.00 50.00 239.00 756.00 0.00 756.00
"196001" 4962.00 599.00 0.00 637.00 0.00 158.00 0.00 276.00 203.00 3460.00 266.00 291.00 -291.00 4998.00 0.00 0.00 3683.00 4404.00 -721.00 290.00 36.00 243.00 746.00 0.00 746.00
"196002" 5303.00 601.00 0.00 896.00 0.00 204.00 0.00 457.00 235.00 3507.00 299.00 301.00 -301.00 5338.00 0.00 0.00 4018.00 4915.00 -897.00 290.00 33.00 251.00 746.00 0.00 746.00
"196003" 6040.00 610.00 0.00 1405.00 0.00 580.00 0.00 450.00 375.00 3585.00 440.00 311.00 -311.00 6075.00 0.00 0.00 4740.00 5280.00 -540.00 290.00 39.00 259.00 747.00 0.00 747.00
"196004" 6700.00 624.00 0.00 1891.00 0.00 1021.00 0.00 400.00 470.00 3649.00 536.00 322.00 -322.00 6715.00 0.00 0.00 5382.00 5334.00 48.00 290.00 48.00 249.00 746.00 0.00 746.00
"196101" 5882.00 642.00 0.00 1207.00 0.00 543.00 0.00 443.00 221.00 4022.00 11.00 333.00 -333.00 5890.00 0.00 0.00 4532.00 5139.00 -607.00 300.00 67.00 256.00 735.00 0.00 735.00
"196102" 6677.00 660.00 0.00 1383.00 0.00 517.00 0.00 504.00 362.00 4482.00 152.00 345.00 -345.00 6671.00 0.00 0.00 5319.00 5236.00 83.00 300.00 61.00 258.00 733.00 0.00 733.00
"196103" 6719.00 676.00 0.00 1525.00 0.00 763.00 0.00 473.00 289.00 4441.00 77.00 357.00 -357.00 6698.00 0.00 0.00 5333.00 5935.00 -602.00 300.00 71.00 260.00 734.00 0.00 734.00
"196104" 7648.00 688.00 0.00 2043.00 0.00 1305.00 0.00 333.00 405.00 4723.00 194.00 369.00 -369.00 7642.00 0.00 0.00 6256.00 6996.00 -740.00 300.00 63.00 287.00 736.00 0.00 736.00
"196201" 6940.00 690.00 0.00 1852.00 0.00 1142.00 0.00 479.00 231.00 4379.00 19.00 382.00 -382.00 6934.00 0.00 0.00 5540.00 6640.00 -1100.00 310.00 66.00 292.00 726.00 0.00 726.00
"196202" 6749.00 683.00 0.00 1968.00 0.00 1122.00 0.00 538.00 308.00 4001.00 97.00 395.00 -395.00 6746.00 0.00 0.00 5375.00 5825.00 -450.00 310.00 38.00 296.00 727.00 0.00 727.00
"196203" 7219.00 668.00 0.00 2014.00 0.00 1146.00 0.00 425.00 443.00 4305.00 232.00 409.00 -409.00 7219.00 0.00 0.00 5851.00 6189.00 -338.00 320.00 33.00 299.00 716.00 0.00 716.00
"196204" 8431.00 648.00 0.00 2964.00 0.00 1976.00 0.00 523.00 465.00 4564.00 255.00 423.00 -423.00 8391.00 0.00 0.00 7066.00 7930.00 -864.00 320.00 28.00 261.00 716.00 0.00 716.00
"196301" 7249.00 652.00 0.00 1923.00 0.00 1048.00 0.00 636.00 239.00 4645.00 29.00 438.00 -438.00 7208.00 0.00 0.00 5869.00 7333.00 -1464.00 325.00 40.00 264.00 710.00 0.00 710.00
