,historical VaR,parametric VaR normal,parametric VaR student,MC VaR levy,historical ES,parametric ES normal,parametric ES student,MC ES levy
GRBT.PA,-0.06815869786368257,-0.05847630140367933,-0.06601035561815381,-0.11950800229163615,-0.10150988500888598,-0.06537480913478758,-0.08101137812384256,-0.32049588532479995
SDGI.PA,-0.064102564102564,-0.049901093824615446,-0.05708469214013492,-0.16849004062769818,-0.08260452101033847,-0.05577901391945581,-0.07172509848478828,-0.7710235659338464
JCQ.PA,-0.07712765957446802,-0.06310072172387701,-0.07029037934687717,-0.14482262784547412,-0.09196297165603284,-0.07048939974155931,-0.08443836153423201,-0.3683608488141462
GFII.PA,-0.0759523809523809,-0.05115916078925958,-0.05884700818690481,-0.14899365528195482,-0.0947458930501126,-0.05719837900499753,-0.07469246704660965,-0.4771451327028177
SABT.PA,-0.0721649484536082,-0.053795823039953956,-0.061460475309346195,-0.13621744196549027,-0.08822683639208634,-0.06014597084877515,-0.07703225000040474,-0.36000444693432654
ABIO.PA,-0.06913073237508555,-0.05064946485480456,-0.056745839353027794,-0.09829067311428845,-0.08036842914572279,-0.05654286466858089,-0.06879860032406913,-0.20468117919934903
GLTN.PA,-0.06976744186046512,-0.05015771075455024,-0.05741632910905965,-0.12385450798841856,-0.083687291915864,-0.05600180776043337,-0.07227315973315512,-0.2915855217107103
PYHE.PA,-0.10622710622710624,-0.07696077245219704,-0.0861658663642413,-0.14759681731807225,-0.11981110576795442,-0.08596244074426121,-0.10434377810320052,-0.3581290695952844
NPOS.PA,-0.07537537537537532,-0.05262447650505688,-0.05922848543725417,-0.10076143605499542,-0.12405773495325177,-0.05872024026098887,-0.07236162236879347,-0.3024310693668968
IPAR.PA,-0.05903790085413794,-0.0452047791730148,-0.05082688316912215,-0.09702105683771947,-0.07457099545715996,-0.05053928520244714,-0.06196564118255221,-0.27734832088719313
SWOR.PA,-0.07174151150054776,-0.05305140381242501,-0.06077796075714532,-0.15074897893357267,-0.08818413442475694,-0.05926104294712142,-0.0766003531916509,-0.5269720388133579
TRIA.PA,-0.09786476868327398,-0.07107722129487419,-0.08069575904221885,-0.14163023871001884,-0.13423507644207747,-0.07945255840462653,-0.1000202017419418,-0.35649916883756466
TERR.PA,-0.04955320877335509,-0.03504877228621631,-0.039981661134376796,-0.10356463474140418,-0.05884142893868078,-0.0392003715074359,-0.04996581129663436,-0.32822391724797556
IDLA.PA,-0.044616435237878414,-0.03751879218662843,-0.04333012199008505,-0.1560219246310623,-0.053972204369066,-0.04204279082176871,-0.05534023938408822,-0.7716705069025614
FNAC.PA,-0.048755540402318436,-0.05336520548087647,-0.06137314984763443,-0.12106612696775627,-0.0756223481335303,-0.059774881420711884,-0.07779015967116563,-0.32698822466177785
KAZI.PA,-0.09908998988877663,-0.07840450382461465,-0.09270079311146666,-23.632145766302177,-0.14812893081854486,-0.0876268895814007,-0.12446031250173004,-38351.859241495535
IGXA.PA,-0.03705397987191211,-0.031158691256210066,-0.035850167365614485,-0.08994963525433,-0.051829497472441456,-0.03486570973247044,-0.04550331752896082,-0.325537996181457
MATP.PA,-0.05277401894451969,-0.04333003124771417,-0.05037460857812087,-0.20762612412117912,-0.06810177346935396,-0.04842571910016883,-0.06529551867217466,-0.6486795630334565
ROBF.PA,-0.05263157894736842,-0.04385959201606334,-0.04994562459920871,-6.836877106574286,-0.06680247523714837,-0.04903523012908517,-0.06223456489125568,-5732.832033585707
VEIL.PA,-0.07755102040816342,-0.05441117140389495,-0.061494653338499204,-0.1120617384328941,-0.08941789273934492,-0.06079846084825159,-0.07563379182977949,-0.29496962034770674
GEAP.PA,-0.06333333333333334,-0.05147443268261823,-0.05973756791981424,-0.21559917054097935,-0.07877686965123082,-0.057561681309903384,-0.07712526603908827,-2.0177619425830655
OLLI.PA,-0.09916666666666671,-0.07055107189288722,-0.08168642748451303,-11.74500922989557,-0.10949017916103727,-0.07894923753420871,-0.10493135454463423,-9562.953300506819
ETOF.PA,-0.05291679948995856,-0.034590377577965924,-0.04134039340607582,-0.7042197650816431,-0.07065088657696075,-0.038701296114452936,-0.05676626144919124,-10.080829157766406
LDCO.PA,-0.07642276422764228,-0.061475231576082534,-0.07044372876919892,-0.2133909840230794,-0.10128240703603986,-0.06871565757676236,-0.08878678224213614,-0.8719145788733142
CRIP.PA,-0.07142857142857138,-0.06136780187401367,-0.0684540611859547,-0.09224450711180622,-0.08496116642534433,-0.06857784343129762,-0.08240583422091517,-0.19079768831974156
