"Dow","CAC","Date"
8.64270806474116,7.66739220081091,1996-06-11
8.642642770814,7.66729865210789,1996-06-12
8.64081694924235,7.66209160480869,1996-06-13
8.63931350878603,7.65529596657537,1996-06-14
8.63990270049461,7.65586401761606,1996-06-17
8.63551471050883,7.65344742371408,1996-06-18
8.63911876344181,7.65002587817608,1996-06-19
8.64107849051072,7.63872801626323,1996-06-20
8.64913857349068,7.64214034404811,1996-06-21
8.65133765290064,7.6485491597295,1996-06-24
8.65159645734874,7.65841631948136,1996-06-25
8.64518178519852,7.65600600895459,1996-06-26
8.64427152011302,7.65581664403772,1996-06-27
8.6402299368946,7.66091510637531,1996-06-28
8.65346731581088,7.65860519279667,1996-07-01
8.65179049528048,7.65529596657537,1996-07-02
8.64875114158348,7.65633716643018,1996-07-03
8.64875114158348,7.66237380466949,1996-07-04
8.62840179826569,7.64912105515923,1996-07-05
8.62170275916056,7.63969043388512,1996-07-08
8.62727730862169,7.63848726706188,1996-07-09
8.63117343262887,7.64103617020934,1996-07-10
8.61623096763796,7.63694500362365,1996-07-11
8.61442154108318,7.62588776002688,1996-07-12
8.58476020316817,7.61554473627895,1996-07-15
8.58648784035046,7.59563862986698,1996-07-16
8.58986353752352,7.59844944135154,1996-07-17
8.60596937581677,7.60454583886778,1996-07-18
8.59910857358598,7.59729598853649,1996-07-19
8.5924750347849,7.58085282673255,1996-07-22
8.58420673559333,7.5919625932526,1996-07-23
8.58572808036519,7.57768499608403,1996-07-24
8.59822183123737,7.58817174224937,1996-07-25
8.60759316477273,7.58217826277061,1996-07-26
8.60053933102226,7.58126080704876,1996-07-29
8.6092125398243,7.58502711038379,1996-07-30
8.61774599661285,7.5988503674406,1996-07-31
8.62958393699526,7.6058402605126,1996-08-01
8.64467659542264,7.61253455563301,1996-08-02
8.64369892416367,7.60748075056284,1996-08-05
8.64753874065159,7.60055242278636,1996-08-06
8.65149152621541,7.59925107225236,1996-08-07
8.65058536530028,7.59960162582465,1996-08-08
8.64493712931106,7.59357569624387,1996-08-09
8.64909475308757,7.58994259453575,1996-08-12
8.638929254222,7.59115509596966,1996-08-13
8.6423974926997,7.59059956654619,1996-08-14
8.64219981359209,7.59059956654619,1996-08-15
8.64636889591395,7.59059956654619,1996-08-16
8.6481231930303,7.59397851979903,1996-08-19
8.65194429893603,7.61050621995061,1996-08-20
8.64643386124116,7.60120240255468,1996-08-21
8.65407624855774,7.60976311225815,1996-08-22
8.65220303154844,7.61124877584405,1996-08-23
8.64714897313129,7.61105080247273,1996-08-26
8.65019669823356,7.60986220091355,1996-08-27
8.65039100793544,7.60235142128981,1996-08-28
8.63899479106205,7.58963925512745,1996-08-29
8.63341233122475,7.58609333170934,1996-08-30
8.63341233122475,7.58933582317062,1996-09-02
8.63912585203537,7.58649924140543,1996-09-03
8.64063130064886,7.59327345706522,1996-09-04
8.63176395520287,7.59900062770585,1996-09-05
8.64115441170344,7.60329960858314,1996-09-06
8.65414071511498,7.61100131847332,1996-09-09
8.6529785726987,7.62173395736941,1996-09-10
8.65781040655005,7.61977326851666,1996-09-11
8.66076351460747,7.63307914378887,1996-09-12
8.67223262247281,7.64031541479259,1996-09-13
8.68087547710271,7.64309948475419,1996-09-16
8.68081262839345,7.64055572432373,1996-09-17
8.67886293716953,7.6366073605222,1996-09-18
8.67722487004851,7.64122835454532,1996-09-19
8.68074977573399,7.63988275918297,1996-09-20
8.68181574652134,7.6339019852146,1996-09-23
8.67829618239603,7.64084406663503,1996-09-24
