,assetmanager,staticfund,CAC 40 net return close,FR0000051732,FR0000120073,FR0000120172,FR0000120271,FR0000120404,FR0000120503,FR0000120578,FR0000120644,FR0000120693,FR0000121014,FR0000121147,FR0000121261,FR0000121329,FR0000121501,FR0000121972,FR0000125007,FR0000125338,FR0000125486,FR0000125585,FR0000127771,FR0000130577,FR0000133308,FR0004035913,FR0010208488,FR0010220475,FR0010242511,FR0010533075,FR0010613471,FR0012942647,FR0013176526,FR0013181864
2017-02-13,58.84,60.17934069091464,58.999178405875,104.85,93.86364575,22.78,48.075,38.94,34.64,80.38,60.65,108.95,189.8,41.555,104.0,89.9,17.925,68.62,46.425,78.09,69.36,51.62,17.265,63.62,14.405,189.2,11.31,26.49,8.724410569,9.101,14.57,0.872,58.86,3.89192144
2017-02-14,58.93,60.30413968397024,59.09131140778126,105.15,93.31819115,22.97,47.945,38.845,35.065,80.5,60.03,107.3,190.15,41.825,105.75,88.85,18.7,68.4,46.64,78.62,68.82,52.27,17.13,63.61,14.495,195.3,11.235,26.57,8.540816851,9.09,14.51,0.887,59.43,3.7391394
2017-02-15,59.19,60.4650782154633,59.44179864965864,105.2,96.1818278,22.91,47.955,38.835,35.475,81.2,59.94,107.75,188.7,42.315,106.35,88.61,18.54,68.87,46.635,79.08,69.4,51.93,16.99,63.53,14.595,195.2,11.18,26.635,8.51207238,9.086,14.61,0.883,60.32,3.75522172
2017-02-16,59.09,60.413468542109,59.135160804410454,105.9,95.36364590000001,22.74,47.82,38.53,35.41,81.63,59.15,108.05,189.7,42.075,105.9,88.05,18.49,66.0,45.98,81.49,68.9,51.81,16.98,63.21,14.655,196.8,11.195,26.4,8.490745837,9.06,14.74,0.872,59.0,3.69089244
2017-02-17,58.76,60.08803774368654,58.750431617974336,105.05,95.2727368,22.6,47.44,38.5,35.045,81.49,61.0,108.2,186.85,41.935,105.35,89.1,18.525,65.06,45.46,82.02,68.21,50.95,16.97,63.47,14.395,195.0,11.08,26.005,8.386894845,9.015,14.555,0.833,58.77,3.76728346
2017-02-20,58.75,60.13926751758118,58.71908422628296,105.2,95.36364590000001,22.305,47.575,38.715,34.75,80.55,60.95,107.95,188.1,41.91,105.35,90.15,18.305,65.15,45.8,82.6,68.53,51.49,16.835,62.97,14.35,197.5,11.09,26.11,8.41007587,8.919,14.645,0.82,58.85,3.64666606
2017-02-21,58.94,60.51573110843887,59.00601447754051,105.6,95.04546405,22.305,48.4,38.62,34.7,80.53,60.89,108.3,190.0,42.54,106.95,89.8,18.405,66.02,45.925,81.96,68.31,52.78,16.945,63.52,14.455,198.5,11.24,26.355,8.4378931,8.825,14.59,0.8270000000000001,59.74,3.54615156
2017-02-22,59.0,60.60944370519065,59.092050442555916,107.8,93.77273665,22.37,48.305,37.695,34.6,80.27,62.33,108.4,192.5,43.01,107.55,89.22,18.745,65.48,45.445,81.76,68.49,52.6,17.02,63.07,14.54,198.5,11.3,26.04,8.41934828,8.747,14.505,0.7759999999999999,60.12,3.55017214
2017-02-23,58.97,60.514592704917035,59.036622834457226,108.6,93.31819115,22.385,48.29,37.8,36.015,80.13,62.79,109.0,192.2,43.25,107.75,88.99,18.45,64.79,45.27,80.91,68.17,52.47,16.99,62.92,14.61,197.15,11.265,25.8,8.430475172000001,8.81,14.255,0.7509999999999999,59.63,3.55017214
2017-02-24,58.6,60.10463278537192,58.48074551145859,108.8,92.86364565,22.16,47.735,37.285,35.7,80.58,62.65,107.95,190.7,42.2,106.55,89.11,17.93,64.03,44.37,80.95,67.49,50.24,16.32,62.93,14.42,196.4,11.225,25.35,8.300661432,8.805,14.01,0.725,58.6,3.37326662
