,KS p-value normal,KS p-value student,KS p-value stable,t-Student nu,levy alpha,levy beta,levy mu,levy sigma,levy neglog
FR001095180=,2.2095404716827522e-132,2.355890963972978e-117,0.0011298107308916048,8.398242187500017,0.829575449210933,-0.039277474066289224,-0.03783745742868596,0.020265783478834364,-2065.0711734177885
FR090788965=,4.465783990694364e-109,3.169983295350556e-116,0.02108759586310139,9.70566406250002,0.789618926572458,-0.055653062318607935,0.043215699853696055,0.003703256187675216,-3459.6125007336086
FR0012384634=,0.0008120405959636386,2.257918509869453e-05,0.0005384065814591766,8.777148437500017,1.490769872728139,0.2541648965276905,-0.1086613914485032,0.48209936038609397,1005.8251387832692
FR0011592096=,4.669336472917521e-06,1.021380305859065e-09,0.56009782967893,6.698046875000012,1.4062501649241745,0.0049440936923059245,-0.031037963392099927,0.4006682352485634,1260.4822885847707
FR0010465427=R,4.096732828507724e-182,1.0862032089015063e-165,4.069666106714401e-09,16.546875000000032,0.5,-0.08116953884750472,-0.028087870263395622,0.002866744164519508,-4920.874402540445
XS120411608=1M,1.1851799073769681e-09,2.812843041252047e-12,9.244299625794696e-11,6.18623046875001,0.5,0.013782589252320345,-0.01730256131458917,0.03011464152611474,464.14575572425895
HIGH.PA,8.004875151139252e-21,7.602948381219251e-26,1.6019082579801537e-12,7.064257812500013,1.1783252206914938,0.007799793311754244,-0.030716031853425578,0.3510034012635118,3409.5090312181264
PSBP.PA,1.232000286906562e-51,6.050505504133305e-48,7.704770674631577e-19,5.71562500000001,0.5,0.021715217971337082,-0.0074128338009127525,0.04484159583342156,1614.0349723881927
LNA.PA,7.526042902106617e-09,3.833219206702732e-09,0.0006701283759768804,9.006054687500018,1.4964193875018135,0.14692754254305512,-0.05409419107991395,0.49435412635251985,3710.346852954828
C4X.PA,1.8179481912583383e-15,9.366751491557227e-17,1.1461192926626618e-11,8.097070312500016,1.4691906676261695,0.21776216453542258,-0.0807859346160318,0.4199969663460861,3338.4889635973304
ECASA.PA,1.6558891629980806e-13,4.705742078782037e-20,1.8255555033586944e-07,7.3909179687500135,1.3553758164103915,0.05065010368431438,-0.03732653620968617,0.40746262758522156,3456.90228407468
ALTHER.PA,4.820863661234859e-11,1.1981860263167634e-08,0.035080202712239966,6.806250000000013,1.340017022311311,0.04407514149658581,-0.05082970743212312,0.3548846072004358,1044.2014423361218
MKEA.PA,1.2420415889358788e-18,1.9321131770770982e-22,1.9256877258353064e-05,7.074707031250014,1.3311404062042342,0.07991051427080252,-0.07822186494218708,0.31345555906261674,1649.2561051363973
