Dates,VFTSE,UKX
2004-03-22,0.2433630934783894,-0.018991783054530555
2004-03-23,-0.022920728517761325,-0.003530389035027039
2004-03-24,0.020100257945199002,-0.0021072131527151475
2004-03-25,-0.11622137404580152,0.01489766556829274
2004-03-26,-0.020891816022457377,-0.003681177976952708
2004-03-29,-0.08347576776754696,0.011290877796901851
2004-03-30,0.013836250977561021,0.0013842557923163282
2004-03-31,0.0002966830831307517,-0.006141225525743374
2004-04-01,-0.05356507296239177,0.005700344300795768
2004-04-02,-0.09551864619241622,0.012447003876935758
2004-04-05,-0.044764742568082536,0.0033814045145108057
2004-04-06,0.012114617337685877,-0.0017631173700537052
2004-04-07,-0.01799025229357807,-0.0009166517617600527
2004-04-08,-0.08510327713305589,0.004699353279477253
2004-04-12,0.11009174311926598,0.0
2004-04-13,-0.05253323751347454,0.005813306011537601
2004-04-14,0.03519417475728145,-0.006731919039815878
2004-04-15,0.02242086752637756,0.004481205689570688
2004-04-16,0.012612870861401759,0.007058040173121781
2004-04-19,-0.023000707714083586,0.0019615189650231714
2004-04-20,0.05599420499818904,0.0050151775108882544
2004-04-21,0.005556317739058945,-0.006369008535784715
2004-04-22,-0.05969029265297769,0.007026586488689299
2004-04-23,-0.02176436448055709,-0.00040465462181205736
2004-04-26,-0.0025215069712253386,0.0004157594722044105
2004-04-27,0.0065427509293681015,0.0008421098679964247
2004-04-28,0.13776037819471107,-0.011189544769106326
2004-04-29,-0.026812958514574985,-0.0011050944855785169
2004-04-30,0.08185456971314199,-0.006593649740015529
2004-05-03,0.03779983967441571,0.0
2004-05-04,-0.12685680332739147,0.012807091787870014
2004-05-05,-0.03341272541680841,0.00490411681914149
2004-05-06,0.14432554210081672,-0.01166429587482223
2004-05-07,-0.008244124523194311,-0.003941366635667194
2004-05-10,0.24088089330024806,-0.02294149030766491
2004-05-11,-0.1332800079988002,0.013537495449581362
2004-05-12,0.08161735017592428,-0.009383347924663879
2004-05-13,-0.03876919795221845,0.009268281628860965
2004-05-14,0.00787794729542319,-0.0026943284386366697
2004-05-17,0.0952276105025596,-0.008735197442478315
2004-05-18,-0.09127004070965483,0.002589143765614271
2004-05-19,-0.0950721752115479,0.013002899601304945
2004-05-20,0.05561667277838895,-0.009638177020439278
2004-05-21,-0.041685965724872764,0.000609659719556488
2004-05-24,-0.001933301111648141,-0.0005641557972649728
2004-05-25,-0.01694915254237295,-0.002461107724265537
2004-05-26,-0.026662561576354563,0.00459483929379814
2004-05-27,-0.04403112545074976,0.003447265845030796
2004-05-28,0.02918403811792739,-0.005141907670199512
2004-06-01,0.0176826131687243,-0.0018055837678019274
2004-06-02,0.01168888608074812,2.2610622470518867e-05
