country,year,loggdp,loginv,logpop,loghcap
CHE,1970,-2.717003,-1.160711,15.20795,2.348325
CHE,1971,-2.679615,-1.099939,15.21051,2.358157
CHE,1972,-2.656183,-1.085297,15.21858,2.367988
CHE,1973,-2.634699,-1.095512,15.22714,2.37782
CHE,1974,-2.627424,-1.159474,15.23431,2.387651
CHE,1975,-2.704086,-1.297201,15.23535,2.397483
CHE,1976,-2.715003,-1.450963,15.23213,2.406342
CHE,1977,-2.690898,-1.44378,15.23207,2.4152
CHE,1978,-2.691752,-1.411421,15.23701,2.424059
CHE,1979,-2.674876,-1.393232,15.24474,2.432918
CHE,1980,-2.64079,-1.307049,15.25565,2.441773
CHE,1981,-2.635637,-1.296502,15.26804,2.450962
CHE,1982,-2.661422,-1.339437,15.28045,2.460315
CHE,1983,-2.665978,-1.318738,15.2903,2.469844
CHE,1984,-2.643037,-1.326336,15.29816,2.479542
CHE,1985,-2.614813,-1.322062,15.30447,2.489421
CHE,1986,-2.604329,-1.302053,15.31092,2.496555
CHE,1987,-2.598848,-1.290825,15.31791,2.503769
CHE,1988,-2.573526,-1.237356,15.32485,2.511078
CHE,1989,-2.536222,-1.217958,15.33204,2.51847
CHE,1990,-2.506986,-1.23476,15.34008,2.520523
CHE,1991,-2.527643,-1.284972,15.35241,2.522588
CHE,1992,-2.535614,-1.39534,15.36065,2.527599
CHE,1993,-2.544113,-1.457809,15.36685,2.529505
CHE,1994,-2.539327,-1.443043,15.37268,2.531424
CHE,1995,-2.540446,-1.45539,15.37758,2.531687
CHE,1996,-2.538049,-1.506119,15.38039,2.535433
CHE,1997,-2.520213,-1.529259,15.38145,2.539789
CHE,1998,-2.494728,-1.498163,15.38351,2.544126
CHE,1999,-2.485827,-1.499226,15.38766,2.546597
CHE,2000,-2.4557,-1.476734,15.39301,2.548476
CHE,2001,-2.45426,-1.505483,15.40193,2.557638
CHE,2002,-2.46096,-1.534436,15.41168,2.563202
CHE,2003,-2.473365,-1.575129,15.42134,2.575501
CHE,2004,-2.461519,-1.563164,15.42994,
DEU,1960,,-1.4113,17.44512,
DEU,1961,,-1.376943,17.4461,
DEU,1962,,-1.353585,17.45199,
DEU,1963,,-1.362449,17.45475,
DEU,1964,,-1.322717,17.45772,
DEU,1965,,-1.338508,17.46227,
DEU,1966,,-1.365667,17.46383,
DEU,1967,,-1.464602,17.4568,
DEU,1968,,-1.495028,17.45275,
DEU,1969,,-1.456458,17.45884,2.241945
DEU,1970,-3.65296,-1.365749,17.46881,2.24786
DEU,1971,-3.631524,-1.343451,17.47823,2.268241
DEU,1972,-3.595968,-1.365975,17.48477,2.288623
DEU,1973,-3.556565,-1.421988,17.49204,2.309004
DEU,1974,-3.551367,-1.523752,17.4957,2.329386
DEU,1975,-3.558861,-1.576947,17.49449,2.349767
DEU,1976,-3.510226,-1.591122,17.49416,2.366646
DEU,1977,-3.480806,-1.576995,17.49767,2.383526
DEU,1978,-3.456511,-1.553503,17.50301,2.400405
DEU,1979,-3.424371,-1.515711,17.51154,2.417284
DEU,1980,-3.42372,-1.487711,17.52488,2.434166
DEU,1981,-3.433007,-1.533152,17.53944,2.441625
DEU,1982,-3.450057,-1.593347,17.55254,2.449245
DEU,1983,-3.444341,-1.584712,17.56242,2.45703
DEU,1984,-3.422734,-1.603002,17.56866,2.464967
DEU,1985,-3.401713,-1.621448,17.57065,2.47307
DEU,1986,-3.380453,-1.62599,17.572,2.482395
DEU,1987,-3.367183,-1.621821,17.57266,2.491915
DEU,1988,-3.333905,-1.613127,17.57578,2.501649
DEU,1989,-3.302593,-1.583517,17.58269,2.511589
DNK,1960,,,14.89426,
DNK,1961,,,14.90609,
DNK,1962,,,14.91811,
DNK,1963,,,14.92835,
DNK,1964,,,14.93523,
DNK,1965,,,14.94239,
DNK,1966,,-1.410686,14.9482,
DNK,1967,,-1.40553,14.95366,
DNK,1968,-1.673586,-1.434122,14.95782,
DNK,1969,-1.606762,-1.380959,14.96292,2.280229
DNK,1970,-1.581593,-1.381629,14.97106,2.287674
DNK,1971,-1.558634,-1.40709,14.97768,2.2952
DNK,1972,-1.521804,-1.368139,14.98175,2.302727
DNK,1973,-1.48972,-1.368734,14.98657,2.310253
